mae,mse,rmse,AIC,BIC,p-value,Model Name
4.48,29.02,5.39,3322.31,3335.42,0.0,"ARIMA (1,1,1)"
4.83,32.88,5.73,3244.45,3292.5,0.98,"ARIMAX (1,1,1)"
4.56,29.51,5.43,3314.96,3332.43,0.0,"SARIMA (2,1,1)"
5.6,43.97,6.63,3226.22,3278.64,0.9,"SARIMAX (2,1,1)"
2.93,14.6,3.82,4050.41,4110.12,0.04,"SARIMAX (1, 1, 3 )"
