mae,mse,rmse,AIC,BIC,p-value,Model Name
4.8,33.68,5.8,3139.56,3152.66,0.0,"ARIMA (1,1,1)"
4.74,34.12,5.84,3130.97,3179.02,0.88,"ARIMAX (1,1,1)"
5.16,38.16,6.18,3110.85,3128.32,0.0,"SARIMA (2,1,1)"
5.1,38.83,6.23,3112.96,3165.38,0.99,"SARIMAX (2,1,1)"
2.72,12.23,3.5,3904.2,3973.09,0.04,"SARIMAX (3, 1, 3 )"
